,Time,Power
0,-0.098,0
1,-0.098,0
2,-0.098,-1.10E-05
3,-0.098,0
4,-0.098,-1.29E-05
5,-0.098,-4.03E-05
6,-0.088,-0.000166043
7,-0.088,-9.26E-05
8,-0.088,-0.000225465
9,-0.088,-7.99E-05
10,-0.088,-0.000295848
11,-0.088,-0.000166696
12,-0.088,0
13,-0.078,0
14,-0.078,-1.10E-05
15,-0.078,0
16,-0.078,-1.29E-05
17,-0.078,-4.03E-05
18,-0.078,-6.76E-05
19,-0.068,-0.000230379
20,-0.068,-8.77E-05
21,-0.068,-0.000217749
22,-0.068,-0.000177729
23,-0.068,-0.000166696
24,-0.068,-3.57E-05
25,-0.058,-0.000139362
26,-0.058,-5.66E-06
27,-0.058,-0.000107489
28,-0.058,2.26E-05
29,-0.058,2.89E-05
30,-0.058,3.91E-05
31,-0.048,-0.00010915
32,-0.048,5.63E-05
33,-0.048,-1.62E-05
34,-0.048,-1.49E-05
35,-0.048,-0.000369185
36,-0.048,-0.000406723
37,-0.048,-0.000115434
38,-0.038,7.39E-05
39,-0.038,0.000429759
40,-0.038,0.000343188
41,-0.038,-0.000233057
42,-0.038,1.14E-05
43,-0.038,8.45E-05
44,-0.028,0.000255933
45,-0.028,-6.61E-05
46,-0.028,-0.000174138
47,-0.028,-0.000166184
48,-0.028,-0.000146335
49,-0.028,-0.000134489
50,-0.018,-0.000578628
51,-0.018,-0.000495806
52,-0.018,-0.000323593
53,-0.018,-0.000124135
54,-0.018,-5.91E-05
55,-0.018,-0.000105909
56,-0.008,-2.75E-05
57,-0.008,-7.93E-05
58,-0.008,-4.00E-05
59,-0.008,0.000159059
60,-0.008,0.000123888
61,-0.008,-5.23E-05
62,-0.008,-2.79E-05
63,0.002,-1.97E-05
64,0.002,7.06E-05
65,0.002,6.57E-05
66,0.002,-1.47E-05
67,0.002,-7.25E-05
68,0.002,0.000127439
69,0.012,0.000244203
70,0.012,0.000559221
71,0.012,0.002326204
72,0.012,0.003897126
73,0.012,0.003402765
74,0.012,0.002389377
75,0.022,0.003743809
76,0.022,0.008160461
77,0.022,0.010103398
78,0.022,0.00753365
79,0.022,0.010303745
80,0.022,0.013390717
81,0.032,0.020871596
82,0.032,0.019915496
83,0.032,0.016263011
84,0.032,0.014006041
85,0.032,0.018068609
86,0.032,0.017876515
87,0.032,0.015073172
88,0.042,0.014942493
89,0.042,0.00571428
90,0.042,-0.001086786
91,0.042,0.002445133
92,0.042,0.00700131
93,0.042,0.004479249
94,0.052,-0.006358059
95,0.052,-0.01787434
96,0.052,-0.001593826
97,0.052,-0.003016629
98,0.052,-0.019637707
99,0.052,-0.021201736
100,0.062,-0.016796431
101,0.062,-4.26E-05
102,0.062,-0.012052623
103,0.062,-0.005861993
104,0.062,-0.005560241
105,0.062,0.015319511
106,0.072,0.023634278
107,0.072,0.010626345
108,0.072,0.011802829
109,0.072,0.028641964
110,0.072,0.038194759
111,0.072,0.023763078
112,0.072,0.050758964
113,0.082,0.053045295
114,0.082,0.055501959
115,0.082,0.057782854
116,0.082,0.050975133
117,0.082,0.072543499
118,0.082,0.045904422
119,0.092,0.038348577
120,0.092,0.051104624
121,0.092,0.054073413
122,0.092,0.057435855
123,0.092,0.038918968
124,0.092,0.031037456
125,0.102,0.046200808
126,0.102,0.062218234
127,0.102,0.042955264
128,0.102,0.047711887
129,0.102,0.052779722
130,0.102,0.083785582
131,0.112,0.064218449
132,0.112,0.044066435
133,0.112,0.076868769
134,0.112,0.083660905
135,0.112,0.104127862
136,0.112,0.069660509
137,0.112,0.090985305
138,0.122,0.112959797
139,0.122,0.135384302
140,0.122,0.157949708
141,0.122,0.121664091
142,0.122,0.144928669
143,0.122,0.184128316
144,0.132,0.177711395
145,0.132,0.186624749
146,0.132,0.180354808
147,0.132,0.206432528
148,0.132,0.199152313
149,0.132,0.19192644
150,0.142,0.218306282
151,0.142,0.177169891
152,0.142,0.187196627
153,0.142,0.214641377
154,0.142,0.225053958
155,0.142,0.217633332
156,0.152,0.228054643
157,0.152,0.221327439
158,0.152,0.25056625
159,0.152,0.243369664
160,0.152,0.25586032
161,0.152,0.249432637
162,0.152,0.262053555
163,0.162,0.294747947
164,0.162,0.309341945
165,0.162,0.305076151
166,0.162,0.320951415
167,0.162,0.357537919
168,0.162,0.374834951
169,0.172,0.392956669
170,0.172,0.412324291
171,0.172,0.433003356
172,0.172,0.453336186
173,0.172,0.474965898
174,0.172,0.519026469
175,0.182,0.564351769
176,0.182,0.567009559
177,0.182,0.591733744
178,0.182,0.595023858
179,0.182,0.664113294
180,0.182,0.669289982
181,0.192,0.695697096
